frame.number	eth.dst	eth.src	eth.type	ip.version	ip.hdr_len	ip.dsfield.dscp	ip.dsfield.ecn	ip.len	ip.id	ip.flags.rb	ip.flags.df	ip.flags.mf	ip.frag_offset	ip.ttl	ip.proto	ip.checksum	ip.src	ip.dst	tcp.srcport	tcp.dstport	tcp.hdr_len	tcp.flags.res	tcp.flags.ns	tcp.flags.cwr	tcp.flags.ecn	tcp.flags.urg	tcp.flags.ack	tcp.flags.push	tcp.flags.reset	tcp.flags.syn	tcp.flags.fin	tcp.window_size_value	tcp.checksum	tcp.urgent_pointer	tcp.options	tcp.payload	udp.srcport	udp.dstport	udp.length	udp.checksum	eth.padding
39	00:17:33:61:00:00	e0:a1:d7:18:c2:73	0x00008864	4	20	0	0	61	0x00007309	0	1	0	0	63	17	0x0000c7a6	95.136.242.99	109.0.66.20																			65390	53	41	0x00009e50	
40	e0:a1:d7:18:c2:73	00:17:33:61:00:00	0x00008864	4	20	0	0	108	0x00000000	0	1	0	0	57	17	0x00004081	109.0.66.20	95.136.242.99																			53	65390	88	0x000054cb	
41	e0:a1:d7:18:c2:73	00:17:33:61:00:00	0x00008864	4	20	0	0	92	0x00000000	0	1	0	0	57	17	0x00004091	109.0.66.20	95.136.242.99																			53	65390	72	0x000093cb	
42	e0:a1:d7:18:c2:73	00:17:33:61:00:00	0x00008864	4	20	0	0	99	0x000036bc	0	1	0	0	58	6	0x000000a2	109.0.74.75	95.136.242.99	443	65386	32	0	0	0	0	0	1	1	0	0	0	62	0x000078cc	0	0101080a0b504610000eff6a	1403010001011603010024131e6e5f5059d994b41cdf26a2c5387609d1ce5e51836158917ed6f2bb2849b52ccd87df					
43	00:17:33:61:00:00	e0:a1:d7:18:c2:73	0x00008864	4	20	0	0	60	0x00002aed	0	1	0	0	63	6	0x0000b093	95.136.242.99	199.7.71.72	65386	80	40	0	0	0	0	0	0	0	0	1	0	29200	0x00009f1c	0	020405ac0402080a000eff760000000001030307						
44	e0:a1:d7:18:c2:73	00:17:33:61:00:00	0x00008864	4	20	0	0	44	0x0000a0c5	0	1	0	0	246	6	0x000083ca	199.7.71.72	95.136.242.99	80	65386	24	0	0	0	0	0	1	0	0	1	0	8190	0x00000a6c	0	020405a0						
45	00:17:33:61:00:00	e0:a1:d7:18:c2:73	0x00008864	4	20	0	0	52	0x000091d1	0	1	0	0	63	6	0x0000a0bb	95.136.242.99	109.0.74.75	65386	443	32	0	0	0	0	0	1	0	0	0	0	293	0x0000bba3	0	0101080a000eff820b504610						
46	00:17:33:61:00:00	e0:a1:d7:18:c2:73	0x00008864	4	20	0	0	40	0x00002aee	0	1	0	0	63	6	0x0000b0a6	95.136.242.99	199.7.71.72	65386	80	20	0	0	0	0	0	1	0	0	0	0	29200	0x0000d002	0							
47	00:17:33:61:00:00	e0:a1:d7:18:c2:73	0x00008864	4	20	0	0	531	0x00002aef	0	1	0	0	63	6	0x0000aeba	95.136.242.99	199.7.71.72	65386	80	20	0	0	0	0	0	1	1	0	0	0	29200	0x0000dcd4	0		504f5354202f20485454502f312e310d0a486f73743a206f6373702e7468617774652e636f6d0d0a557365722d4167656e743a204d6f7a696c6c612f352e3020285831313b204c696e7578207838365f36343b2072763a32362e3029204765636b6f2f32303130303130312046697265666f782f32362e300d0a4163636570743a20746578742f68746d6c2c6170706c69636174696f6e2f7868746d6c2b786d6c2c6170706c69636174696f6e2f786d6c3b713d302e392c2a2f2a3b713d302e380d0a4163636570742d4c616e67756167653a2066722c66722d66723b713d302e382c656e2d75733b713d302e352c656e3b713d302e330d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a444e543a20310d0a436f6e74656e742d4c656e6774683a203131350d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6f6373702d726571756573740d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a3071306f304d304b3049300906052b0e03021a0500041431b0bd9e1d36cac2325c6368072db5d3c7619d490414a7a283bb3445403dfcd5304f12b93ea1019ff6db02107a711a198ce068d6f19f445fe653d2c3a21e301c301a06092b0601050507300104040d300b06092b0601050507300101					
48	e0:a1:d7:18:c2:73	00:17:33:61:00:00	0x00008864	4	20	0	0	40	0x0000cf67	0	1	0	0	55	6	0x0000142d	199.7.71.72	95.136.242.99	80	65386	20	0	0	0	0	0	1	0	0	0	0	7699	0x00002215	0							
