frame.number	eth.dst	eth.src	eth.type	ip.version	ip.hdr_len	ip.dsfield.dscp	ip.dsfield.ecn	ip.len	ip.id	ip.flags.rb	ip.flags.df	ip.flags.mf	ip.frag_offset	ip.ttl	ip.proto	ip.checksum	ip.src	ip.dst	tcp.srcport	tcp.dstport	tcp.hdr_len	tcp.flags.res	tcp.flags.ns	tcp.flags.cwr	tcp.flags.ecn	tcp.flags.urg	tcp.flags.ack	tcp.flags.push	tcp.flags.reset	tcp.flags.syn	tcp.flags.fin	tcp.window_size_value	tcp.checksum	tcp.urgent_pointer	tcp.options	tcp.payload	udp.srcport	udp.dstport	udp.length	udp.checksum	eth.padding
115	00:00:c0:9f:a0:97	00:a0:cc:3b:bf:fa	0x00000800	4	20	4	0	52	0x000016de	0	1	0	0	64	6	0x0000a282	192.168.0.2	192.168.0.1	1254	23	32	0	0	0	0	0	1	0	0	0	0	32120	0x0000ebf4	0	0101080a001612c900054b90						
116	00:a0:cc:3b:bf:fa	00:00:c0:9f:a0:97	0x00000800	4	20	4	0	121	0x000001e1	0	0	0	0	64	6	0x0000f73a	192.168.0.1	192.168.0.2	23	1254	32	0	0	0	0	0	1	1	0	0	0	17376	0x00009143	0	0101080a00054b90001612c9	2e2020202020202020202e2e20202020202020202e6373687263202020202e6c6f67696e202020202e6d61696c72632020202e70726f66696c6520202e72686f7374730d0a					
117	00:00:c0:9f:a0:97	00:a0:cc:3b:bf:fa	0x00000800	4	20	4	0	52	0x000016df	0	1	0	0	64	6	0x0000a281	192.168.0.2	192.168.0.1	1254	23	32	0	0	0	0	0	1	0	0	0	0	32120	0x0000ebaa	0	0101080a001612ce00054b90						
118	00:a0:cc:3b:bf:fa	00:00:c0:9f:a0:97	0x00000800	4	20	4	0	54	0x0000411a	0	0	0	0	64	6	0x0000b844	192.168.0.1	192.168.0.2	23	1254	32	0	0	0	0	0	1	1	0	0	0	17376	0x00000119	0	0101080a00054b90001612ce	2420					
119	00:00:c0:9f:a0:97	00:a0:cc:3b:bf:fa	0x00000800	4	20	4	0	52	0x000016e0	0	1	0	0	64	6	0x0000a280	192.168.0.2	192.168.0.1	1254	23	32	0	0	0	0	0	1	0	0	0	0	32120	0x0000eba6	0	0101080a001612d000054b90						
120	00:00:c0:9f:a0:97	00:a0:cc:3b:bf:fa	0x00000800	4	20	4	0	53	0x000016e1	0	1	0	0	64	6	0x0000a27e	192.168.0.2	192.168.0.1	1254	23	32	0	0	0	0	0	1	1	0	0	0	32120	0x0000bc2c	0	0101080a0016134100054b90	2f					
121	00:a0:cc:3b:bf:fa	00:00:c0:9f:a0:97	0x00000800	4	20	4	0	52	0x000011c1	0	0	0	0	64	6	0x0000e79f	192.168.0.1	192.168.0.2	23	1254	32	0	0	0	0	0	1	0	0	0	0	17376	0x000024cb	0	0101080a00054b9200161341						
122	00:a0:cc:3b:bf:fa	00:00:c0:9f:a0:97	0x00000800	4	20	4	0	53	0x00001047	0	0	0	0	64	6	0x0000e918	192.168.0.1	192.168.0.2	23	1254	32	0	0	0	0	0	1	1	0	0	0	17376	0x0000f5c1	0	0101080a00054b9200161341	2f					
123	00:00:c0:9f:a0:97	00:a0:cc:3b:bf:fa	0x00000800	4	20	4	0	52	0x000016e2	0	1	0	0	64	6	0x0000a27e	192.168.0.2	192.168.0.1	1254	23	32	0	0	0	0	0	1	0	0	0	0	32120	0x0000eb2f	0	0101080a0016134300054b92						
124	00:00:c0:9f:a0:97	00:a0:cc:3b:bf:fa	0x00000800	4	20	4	0	53	0x000016e3	0	1	0	0	64	6	0x0000a27c	192.168.0.2	192.168.0.1	1254	23	32	0	0	0	0	0	1	1	0	0	0	32120	0x000077f3	0	0101080a0016137600054b92	73					
125	00:a0:cc:3b:bf:fa	00:00:c0:9f:a0:97	0x00000800	4	20	4	0	52	0x0000557d	0	0	0	0	64	6	0x0000a3e3	192.168.0.1	192.168.0.2	23	1254	32	0	0	0	0	0	1	0	0	0	0	17376	0x00002493	0	0101080a00054b9300161376						
126	00:a0:cc:3b:bf:fa	00:00:c0:9f:a0:97	0x00000800	4	20	4	0	53	0x00006d6d	0	0	0	0	64	6	0x00008bf2	192.168.0.1	192.168.0.2	23	1254	32	0	0	0	0	0	1	1	0	0	0	17376	0x0000b189	0	0101080a00054b9300161376	73					
